Watching for file changes with StatReloader
[13/Jul/2025 03:00:34] "POST /accounts/login/?next=/dashboard/ HTTP/1.1" 302 0
[13/Jul/2025 03:00:34] "GET /dashboard/ HTTP/1.1" 200 10631
[13/Jul/2025 03:00:34] "GET /api/inventory/stats/ HTTP/1.1" 200 111
[13/Jul/2025 03:00:34] "GET /api/inventory/stats/ HTTP/1.1" 200 111
[13/Jul/2025 03:00:34] "GET /api/sales/stats/ HTTP/1.1" 200 184
[13/Jul/2025 03:00:34] "GET /api/inventory/products/ HTTP/1.1" 200 2528
[13/Jul/2025 03:00:34] "GET /api/sales/stats/ HTTP/1.1" 200 184
[13/Jul/2025 03:00:37] "GET /accounts/login/?next=/dashboard/ HTTP/1.1" 200 2977
Not Found: /favicon.ico
[13/Jul/2025 03:00:41] "POST /accounts/login/?next=/dashboard/ HTTP/1.1" 200 3397
[13/Jul/2025 03:00:50] "GET /admin/ HTTP/1.1" 200 14265
[13/Jul/2025 03:00:50] "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
Not Found: /favicon.ico
[13/Jul/2025 03:00:52] "POST /admin/logout/ HTTP/1.1" 302 0
[13/Jul/2025 03:00:52] "GET / HTTP/1.1" 200 7536
[13/Jul/2025 03:01:00] "GET /admin/ HTTP/1.1" 302 0
[13/Jul/2025 03:01:00] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4170
[13/Jul/2025 03:01:05] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[13/Jul/2025 03:01:05] "GET /admin/ HTTP/1.1" 200 14265
Forbidden (CSRF token from POST incorrect.): /accounts/login/
[13/Jul/2025 03:01:14] "POST /accounts/login/?next=/dashboard/ HTTP/1.1" 403 2503
Forbidden (CSRF token from POST incorrect.): /accounts/login/
[13/Jul/2025 03:03:03] "POST /accounts/login/?next=/dashboard/ HTTP/1.1" 403 2503
[13/Jul/2025 03:03:10] "GET /admin/ HTTP/1.1" 200 14265
[13/Jul/2025 03:03:14] "POST /admin/logout/ HTTP/1.1" 302 0
[13/Jul/2025 03:03:14] "GET / HTTP/1.1" 200 7536
[13/Jul/2025 03:03:27] "GET /admin/ HTTP/1.1" 302 0
[13/Jul/2025 03:03:27] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4170
[13/Jul/2025 03:03:33] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[13/Jul/2025 03:03:33] "GET /admin/ HTTP/1.1" 200 14265
[13/Jul/2025 03:03:39] "GET /admin/users/user/ HTTP/1.1" 200 19556
[13/Jul/2025 03:03:39] "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
[13/Jul/2025 03:03:39] "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
[13/Jul/2025 03:03:39] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[13/Jul/2025 03:03:39] "GET /static/admin/js/core.js HTTP/1.1" 304 0
[13/Jul/2025 03:03:39] "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
[13/Jul/2025 03:03:39] "GET /static/admin/js/actions.js HTTP/1.1" 304 0
[13/Jul/2025 03:03:39] "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
[13/Jul/2025 03:03:39] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
[13/Jul/2025 03:03:39] "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
[13/Jul/2025 03:03:39] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[13/Jul/2025 03:03:39] "GET /static/admin/js/filters.js HTTP/1.1" 304 0
[13/Jul/2025 03:03:39] "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
[13/Jul/2025 03:03:39] "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
[13/Jul/2025 03:03:39] "GET /static/admin/img/search.svg HTTP/1.1" 200 458
[13/Jul/2025 03:03:39] "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
[13/Jul/2025 03:03:39] "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
[13/Jul/2025 03:03:39] "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
[13/Jul/2025 03:03:48] "POST /admin/logout/ HTTP/1.1" 302 0
[13/Jul/2025 03:03:48] "GET / HTTP/1.1" 200 7536
[13/Jul/2025 03:03:50] "GET /admin/ HTTP/1.1" 302 0
[13/Jul/2025 03:03:50] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4170
[13/Jul/2025 03:03:53] "GET /dashboard/ HTTP/1.1" 302 0
[13/Jul/2025 03:03:53] "GET /accounts/login/?next=/dashboard/ HTTP/1.1" 200 2977
